Date,Open,High,Low,Close,Volume,OI
2009-12-16,1.22,1.24,1.21,1.22,548400,0
2009-12-17,1.22,1.23,1.22,1.22,21500,0
2009-12-18,1.22,1.27,1.22,1.22,26300,0
2009-12-21,1.24,1.25,1.22,1.23,226000,0
2009-12-22,1.24,1.24,1.22,1.23,160800,0
2009-12-23,1.23,1.23,1.22,1.23,33500,0
2009-12-24,1.22,1.26,1.2,1.24,285400,0
2009-12-25,1.25,1.26,1.24,1.24,95400,0
2009-12-28,1.24,1.26,1.24,1.25,82500,0
2009-12-29,1.24,1.27,1.24,1.26,119600,0
2009-12-30,1.26,1.26,1.24,1.24,127100,0
2010-01-04,1.27,1.27,1.21,1.21,403000,0
2010-01-05,1.2,1.21,1.19,1.19,394300,0
2010-01-06,1.19,1.24,1.18,1.19,494400,0
2010-01-07,1.2,1.25,1.2,1.2,296000,0
2010-01-08,1.21,1.21,1.21,1.21,110000,0
2010-01-11,1.21,1.23,1.21,1.22,172500,0
2010-01-12,1.22,1.22,1.21,1.21,271600,0
2010-01-13,1.21,1.26,1.2,1.2,662900,0
2010-01-14,1.23,1.32,1.23,1.24,2019600,0
2010-01-15,1.27,1.27,1.24,1.24,263800,0
2010-01-18,1.24,1.27,1.24,1.25,459400,0
2010-01-19,1.24,1.25,1.23,1.23,241700,0
2010-01-20,1.24,1.26,1.23,1.24,368900,0
2010-01-21,1.25,1.28,1.24,1.26,298000,0
2010-01-22,1.25,1.26,1.24,1.26,922502,0
2010-01-25,1.25,1.29,1.22,1.22,630200,0
2010-01-26,1.22,1.26,1.22,1.26,314000,0
2010-01-27,1.25,1.31,1.23,1.25,2654000,0
2010-01-28,1.25,1.26,1.24,1.24,264900,0
2010-01-29,1.24,1.25,1.24,1.25,108400,0
2010-02-01,1.25,1.25,1.23,1.24,601700,0
2010-02-02,1.24,1.25,1.23,1.23,190500,0
2010-02-03,1.23,1.25,1.23,1.23,142900,0
2010-02-04,1.23,1.24,1.23,1.23,250700,0
2010-02-05,1.27,1.27,1.22,1.22,86000,0
2010-02-08,1.22,1.24,1.22,1.23,39100,0
2010-02-09,1.23,1.24,1.22,1.22,13800,0
2010-02-10,1.25,1.32,1.22,1.29,6197800,0
2010-02-11,1.29,1.29,1.24,1.28,501200,0
2010-02-12,1.25,1.27,1.24,1.24,120500,0
2010-02-15,1.24,1.24,1.24,1.24,87900,0
2010-02-16,1.24,1.25,1.24,1.24,191500,0
2010-02-17,1.24,1.25,1.23,1.25,35255,0
2010-02-18,1.26,1.27,1.23,1.24,40500,0
2010-02-19,1.24,1.24,1.23,1.23,36000,0
2010-02-22,1.23,1.23,1.23,1.23,24700,0
2010-02-23,1.23,1.24,1.22,1.22,326500,0
2010-02-24,1.23,1.26,1.22,1.23,432900,0
2010-02-25,1.23,1.23,1.23,1.23,23000,0
2010-02-26,1.22,1.22,1.22,1.22,2010,0
2010-03-02,1.24,1.25,1.22,1.25,236600,0
2010-03-03,1.25,1.25,1.23,1.23,324800,0
2010-03-04,1.24,1.24,1.2,1.2,68800,0
2010-03-05,1.2,1.23,1.2,1.2,235410,0
2010-03-09,1.22,1.22,1.19,1.19,11800,0
2010-03-10,1.19,1.19,1.17,1.17,61500,0
2010-03-11,1.18,1.18,1.18,1.18,99000,0
2010-03-12,1.18,1.18,1.17,1.18,33000,0
2010-03-15,1.18,1.22,1.18,1.22,12200,0
